baseline_kind,rank,weight,semantic_variant_count,top_semantic_variants,baseline_stack
nonsemantic_without_session_prompt,1,299,25,session:session/prompt:session=75; session:paper/prompt:debug=38; session:session/prompt:trace=23; session:session/prompt:agent=22; session:paper/prompt:pr=20; session:flamegraph/prompt:design=16; session:paper/prompt:paper=15; session:session/prompt:subagent=13,project:agentsight;agent:codex;tool:shell;cmd:git;effect:read;status:ok
nonsemantic_without_session_prompt,2,167,3,session:paper/prompt:aggregate=116; session:paper/prompt:metrics=36; session:paper/prompt:db=15,project:agentsight;agent:claude;tool:shell;cmd:gh;effect:process;path:eunomia-bpf/agentsight;status:ok
nonsemantic_without_session_prompt,3,166,5,session:paper/prompt:commit=145; session:paper/prompt:aggregate=15; session:paper/prompt:work=3; session:paper/prompt:metrics=2; session:model/prompt:pr=1,project:agentsight;agent:claude;tool:shell;cmd:gh;effect:process;status:ok
nonsemantic_without_session_prompt,4,82,10,session:session/prompt:session=30; session:paper/prompt:debug=27; session:session/prompt:model=10; session:session/prompt:work=5; session:session/prompt:ssl=3; session:paper/prompt:pr=2; session:session/prompt:debug=2; session:paper/prompt:session=1,project:agentsight;agent:codex;tool:shell;cmd:cargo;effect:test;status:ok
nonsemantic_without_session_prompt,5,70,12,session:paper/prompt:inspect=13; session:paper/prompt:debug=10; session:session/prompt:session=8; session:session/prompt:paper=8; session:session/prompt:work=8; session:paper/prompt:pr=6; session:session/prompt:main=4; session:session/prompt:trace=3,project:agentsight;agent:codex;tool:shell;cmd:gh;effect:process;status:ok
nonsemantic_without_session_prompt,6,67,7,session:session/prompt:session=25; session:paper/prompt:debug=20; session:session/prompt:trace=12; session:session/prompt:model=4; session:session/prompt:debug=3; session:paper/prompt:session=2; session:flamegraph/prompt:session=1,project:agentsight;agent:codex;tool:shell;cmd:sed;effect:read;path:collector/src/view;status:ok
nonsemantic_without_session_prompt,7,66,13,session:session/prompt:session=14; session:paper/prompt:debug=11; session:flamegraph/prompt:design=10; session:session/prompt:trace=8; session:paper/prompt:session=6; session:paper/prompt:pr=3; session:session/prompt:model=3; session:session/prompt:agent=3,project:agentsight;agent:codex;tool:shell;cmd:python3;effect:process;status:ok
nonsemantic_without_session_prompt,8,65,12,session:session/prompt:session=34; session:session/prompt:agent=8; session:session/prompt:ssl=5; session:session/prompt:trace=4; session:session/prompt:work=4; session:session/prompt:commit=3; session:session/prompt:inspect=2; session:flamegraph/prompt:session=1,project:agentsight;agent:codex;tool:shell;cmd:sed;effect:read;path:collector/src/sources;status:ok
nonsemantic_without_session_prompt,9,53,10,session:flamegraph/prompt:design=12; session:session/prompt:session=8; session:paper/prompt:debug=6; session:paper/prompt:inspect=6; session:session/prompt:work=6; session:session/prompt:agent=5; session:paper/prompt:pr=4; session:session/prompt:trace=4,project:agentsight;agent:codex;tool:tool;cmd:write;effect:process;status:observed
nonsemantic_without_session_prompt,10,51,10,session:session/prompt:session=15; session:flamegraph/prompt:design=13; session:paper/prompt:paper=6; session:paper/prompt:inspect=5; session:paper/prompt:debug=3; session:session/prompt:server=3; session:session/prompt:work=2; session:session/prompt:agent=2,project:agentsight;agent:codex;tool:tool;cmd:write;effect:process;status:ok
nonsemantic_without_session_prompt,11,50,12,session:session/prompt:session=24; session:paper/prompt:debug=8; session:session/prompt:debug=4; session:paper/prompt:pr=2; session:session/prompt:work=2; session:session/prompt:subagent=2; session:session/prompt:trace=2; session:session/prompt:agent=2,project:agentsight;agent:codex;tool:shell;cmd:rg;effect:read;path:collector/src;status:ok
nonsemantic_without_session_prompt,12,39,8,session:session/prompt:session=26; session:session/prompt:trace=4; session:session/prompt:debug=4; session:session/prompt:work=1; session:session/prompt:server=1; session:session/prompt:ssl=1; session:session/prompt:model=1; session:session/prompt:header=1,project:agentsight;agent:codex;tool:shell;cmd:agentsight;effect:process;path:collector/target/debug;status:ok
nonsemantic_without_session_prompt,13,34,8,session:session/prompt:session=8; session:paper/prompt:paper=7; session:paper/prompt:pr=5; session:session/prompt:trace=5; session:paper/prompt:inspect=4; session:paper/prompt:debug=3; session:session/prompt:subagent=1; session:session/prompt:model=1,project:agentsight;agent:codex;tool:shell;cmd:git;effect:read;path:collector/src/runners;status:ok
nonsemantic_without_session_prompt,14,32,7,session:session/prompt:session=15; session:session/prompt:agent=7; session:session/prompt:trace=4; session:session/prompt:subagent=2; session:session/prompt:work=2; session:session/prompt:paper=1; session:session/prompt:model=1,project:agentsight;agent:codex;tool:shell;cmd:git;effect:read;path:collector/src/sources;status:ok
nonsemantic_without_session_prompt,15,31,9,session:session/prompt:trace=13; session:session/prompt:work=6; session:session/prompt:session=4; session:paper/prompt:pr=2; session:session/prompt:main=2; session:session/prompt:model=1; session:session/prompt:cleanup=1; session:session/prompt:header=1,project:agentsight;agent:codex;tool:shell;cmd:ps;effect:process;status:ok
flat_effect_without_project_agent_session_prompt,1,324,30,session:session/prompt:session=75; session:paper/prompt:debug=41; session:session/prompt:trace=23; session:session/prompt:agent=22; session:paper/prompt:pr=20; session:flamegraph/prompt:design=16; session:paper/prompt:paper=16; session:session/prompt:subagent=13,tool:shell;cmd:git;effect:read;status:ok
flat_effect_without_project_agent_session_prompt,2,236,16,session:paper/prompt:commit=145; session:paper/prompt:aggregate=15; session:paper/prompt:inspect=13; session:paper/prompt:debug=10; session:session/prompt:session=8; session:session/prompt:paper=8; session:session/prompt:work=8; session:paper/prompt:pr=6,tool:shell;cmd:gh;effect:process;status:ok
flat_effect_without_project_agent_session_prompt,3,173,6,session:paper/prompt:aggregate=116; session:paper/prompt:metrics=36; session:paper/prompt:db=15; session:paper/prompt:pr=2; session:paper/prompt:paper=2; session:paper/prompt:debug=2,tool:shell;cmd:gh;effect:process;path:eunomia-bpf/agentsight;status:ok
flat_effect_without_project_agent_session_prompt,4,128,16,session:session/prompt:session=30; session:paper/prompt:debug=28; session:subagent/prompt:collector=14; session:paper/prompt:db=12; session:session/prompt:model=10; session:model/prompt:work=9; session:model/prompt:session=5; session:session/prompt:work=5,tool:shell;cmd:cargo;effect:test;status:ok
flat_effect_without_project_agent_session_prompt,5,74,15,session:session/prompt:session=14; session:paper/prompt:debug=11; session:flamegraph/prompt:design=10; session:session/prompt:trace=8; session:paper/prompt:session=6; session:paper/prompt:work=5; session:paper/prompt:pr=3; session:session/prompt:model=3,tool:shell;cmd:python3;effect:process;status:ok
flat_effect_without_project_agent_session_prompt,6,67,7,session:session/prompt:session=25; session:paper/prompt:debug=20; session:session/prompt:trace=12; session:session/prompt:model=4; session:session/prompt:debug=3; session:paper/prompt:session=2; session:flamegraph/prompt:session=1,tool:shell;cmd:sed;effect:read;path:collector/src/view;status:ok
flat_effect_without_project_agent_session_prompt,7,65,12,session:session/prompt:session=34; session:session/prompt:agent=8; session:session/prompt:ssl=5; session:session/prompt:trace=4; session:session/prompt:work=4; session:session/prompt:commit=3; session:session/prompt:inspect=2; session:flamegraph/prompt:session=1,tool:shell;cmd:sed;effect:read;path:collector/src/sources;status:ok
flat_effect_without_project_agent_session_prompt,8,55,12,session:session/prompt:session=24; session:paper/prompt:debug=9; session:paper/prompt:paper=5; session:session/prompt:debug=4; session:paper/prompt:pr=2; session:session/prompt:work=2; session:session/prompt:subagent=2; session:session/prompt:trace=2,tool:shell;cmd:rg;effect:read;path:collector/src;status:ok
flat_effect_without_project_agent_session_prompt,9,53,11,session:session/prompt:session=15; session:flamegraph/prompt:design=13; session:paper/prompt:paper=7; session:paper/prompt:inspect=5; session:paper/prompt:debug=3; session:session/prompt:server=3; session:session/prompt:work=2; session:session/prompt:agent=2,tool:tool;cmd:write;effect:process;status:ok
flat_effect_without_project_agent_session_prompt,10,53,10,session:flamegraph/prompt:design=12; session:session/prompt:session=8; session:paper/prompt:debug=6; session:paper/prompt:inspect=6; session:session/prompt:work=6; session:session/prompt:agent=5; session:paper/prompt:pr=4; session:session/prompt:trace=4,tool:tool;cmd:write;effect:process;status:observed
flat_effect_without_project_agent_session_prompt,11,39,8,session:session/prompt:session=26; session:session/prompt:trace=4; session:session/prompt:debug=4; session:session/prompt:work=1; session:session/prompt:server=1; session:session/prompt:ssl=1; session:session/prompt:model=1; session:session/prompt:header=1,tool:shell;cmd:agentsight;effect:process;path:collector/target/debug;status:ok
flat_effect_without_project_agent_session_prompt,12,38,9,session:session/prompt:session=8; session:paper/prompt:paper=7; session:paper/prompt:pr=5; session:session/prompt:trace=5; session:paper/prompt:inspect=4; session:paper/prompt:debug=4; session:paper/prompt:aggregate=3; session:session/prompt:subagent=1,tool:shell;cmd:git;effect:read;path:collector/src/runners;status:ok
flat_effect_without_project_agent_session_prompt,13,36,9,session:session/prompt:session=15; session:session/prompt:agent=7; session:session/prompt:trace=4; session:paper/prompt:paper=3; session:session/prompt:subagent=2; session:session/prompt:work=2; session:session/prompt:paper=1; session:session/prompt:model=1,tool:shell;cmd:git;effect:read;path:collector/src/sources;status:ok
flat_effect_without_project_agent_session_prompt,14,36,4,session:session/prompt:subagent=19; session:paper/prompt:paper=8; session:paper/prompt:debug=8; session:session/prompt:trace=1,tool:shell;cmd:git;effect:read;path:origin/master...head;status:ok
flat_effect_without_project_agent_session_prompt,15,35,10,session:paper/prompt:aggregate=8; session:subagent/prompt:collector=7; session:paper/prompt:db=7; session:model/prompt:work=4; session:paper/prompt:metrics=4; session:model/prompt:paper=1; session:model/prompt:commit=1; session:paper/prompt:loc=1,tool:shell;cmd:cd;effect:process;path:repo;status:ok
